test_name,true_category,true_label,transform,pred_original,conf_original,pred_transformed,conf_transformed,flipped,correct_original,correct_transformed,tokens_original,tokens_transformed,token_delta,conf_delta,whitespace_identical
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,indent +2,0,0.9219,5,0.9427,True,True,False,242,268,26,0.0208,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,indent +4,0,0.9219,5,0.9454,True,True,False,242,296,54,0.0235,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,indent +8,0,0.9219,5,0.9366,True,True,False,242,352,110,0.0147,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,spaces to tabs,0,0.9219,5,0.9405,True,True,False,242,199,-43,0.0187,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,tabs to spaces,0,0.9219,0,0.9219,False,True,True,242,242,0,0.0,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,strip indent,0,0.9219,0,0.9146,False,True,True,242,180,-62,-0.0073,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,add blank lines,0,0.9219,0,0.9212,False,True,True,242,244,2,-0.0007,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,remove blank lines,0,0.9219,0,0.9219,False,True,True,242,242,0,0.0,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,trailing newline,0,0.9219,0,0.9222,False,True,True,242,243,1,0.0003,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,trailing spaces,0,0.9219,0,0.6517,False,True,True,242,257,15,-0.2702,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,CRLF endings,0,0.9219,0,0.922,False,True,True,242,256,14,0.0001,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,indent +2,2,0.4559,5,0.9461,True,False,False,260,278,18,0.4902,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,indent +4,2,0.4559,5,0.9493,True,False,False,260,298,38,0.4935,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,indent +8,2,0.4559,5,0.9453,True,False,False,260,338,78,0.4894,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,spaces to tabs,2,0.4559,5,0.9446,True,False,False,260,244,-16,0.4887,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,tabs to spaces,2,0.4559,2,0.4559,False,False,False,260,260,0,0.0,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,strip indent,2,0.4559,3,0.7514,True,False,True,260,236,-24,0.2955,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,add blank lines,2,0.4559,3,0.4155,True,False,True,260,262,2,-0.0404,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,remove blank lines,2,0.4559,2,0.4559,False,False,False,260,260,0,0.0,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,trailing newline,2,0.4559,3,0.4515,True,False,True,260,261,1,-0.0044,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,trailing spaces,2,0.4559,5,0.7631,True,False,False,260,271,11,0.3073,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,CRLF endings,2,0.4559,2,0.4467,False,False,False,260,270,10,-0.0092,True
TestPathData.testToFile,4,test order dependency,indent +2,3,0.6063,5,0.9511,True,False,False,144,158,14,0.3448,True
TestPathData.testToFile,4,test order dependency,indent +4,3,0.6063,5,0.9513,True,False,False,144,174,30,0.345,True
TestPathData.testToFile,4,test order dependency,indent +8,3,0.6063,5,0.9501,True,False,False,144,206,62,0.3438,True
TestPathData.testToFile,4,test order dependency,spaces to tabs,3,0.6063,5,0.9444,True,False,False,144,132,-12,0.3381,True
TestPathData.testToFile,4,test order dependency,tabs to spaces,3,0.6063,3,0.6063,False,False,False,144,144,0,0.0,True
TestPathData.testToFile,4,test order dependency,strip indent,3,0.6063,3,0.3572,False,False,False,144,126,-18,-0.2491,True
TestPathData.testToFile,4,test order dependency,add blank lines,3,0.6063,3,0.5634,False,False,False,144,146,2,-0.0429,True
TestPathData.testToFile,4,test order dependency,remove blank lines,3,0.6063,3,0.6063,False,False,False,144,144,0,0.0,True
TestPathData.testToFile,4,test order dependency,trailing newline,3,0.6063,3,0.4576,False,False,False,144,145,1,-0.1487,True
TestPathData.testToFile,4,test order dependency,trailing spaces,3,0.6063,5,0.8549,True,False,False,144,153,9,0.2486,True
TestPathData.testToFile,4,test order dependency,CRLF endings,3,0.6063,3,0.5346,False,False,False,144,152,8,-0.0717,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,indent +2,4,0.8007,5,0.9441,True,True,False,203,221,18,0.1434,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,indent +4,4,0.8007,5,0.9475,True,True,False,203,241,38,0.1469,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,indent +8,4,0.8007,5,0.9452,True,True,False,203,281,78,0.1445,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,spaces to tabs,4,0.8007,5,0.9378,True,True,False,203,187,-16,0.1372,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,tabs to spaces,4,0.8007,4,0.8007,False,True,True,203,203,0,0.0,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,strip indent,4,0.8007,4,0.8974,False,True,True,203,179,-24,0.0967,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,add blank lines,4,0.8007,4,0.8149,False,True,True,203,205,2,0.0142,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,remove blank lines,4,0.8007,4,0.8007,False,True,True,203,203,0,0.0,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,trailing newline,4,0.8007,4,0.8814,False,True,True,203,204,1,0.0807,True
