test_name,true_category,true_label,transform,tokens_before,tokens_after,ws_tokens_before,ws_tokens_after,ws_frac_before,ws_frac_after,truncated_before,truncated_after,pred_before,pred_after,conf_before,conf_after,flipped
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,indent +4,242,296,78,132,0.3223,0.4459,False,False,0,5,0.9219,0.9454,True
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,strip indent,242,180,78,14,0.3223,0.0778,False,False,0,0,0.9219,0.9146,False
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,trailing spaces,242,257,78,93,0.3223,0.3619,False,False,0,0,0.9219,0.6517,False
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,async wait,remove blank lines,242,242,78,78,0.3223,0.3223,False,False,0,0,0.9219,0.9219,False
MetricAdapterTest.testToMetricResponse,3,unordered collections,indent +4,260,298,34,72,0.1308,0.2416,False,False,2,5,0.4559,0.9493,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,strip indent,260,236,34,10,0.1308,0.0424,False,False,2,3,0.4559,0.7514,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,trailing spaces,260,271,34,45,0.1308,0.1661,False,False,2,5,0.4559,0.7631,True
MetricAdapterTest.testToMetricResponse,3,unordered collections,remove blank lines,260,260,34,34,0.1308,0.1308,False,False,2,2,0.4559,0.4559,False
TestPathData.testToFile,4,test order dependency,indent +4,144,174,26,56,0.1806,0.3218,False,False,3,5,0.6063,0.9513,True
TestPathData.testToFile,4,test order dependency,strip indent,144,126,26,8,0.1806,0.0635,False,False,3,3,0.6063,0.3572,False
TestPathData.testToFile,4,test order dependency,trailing spaces,144,153,26,35,0.1806,0.2288,False,False,3,5,0.6063,0.8549,True
TestPathData.testToFile,4,test order dependency,remove blank lines,144,144,26,26,0.1806,0.1806,False,False,3,3,0.6063,0.6063,False
TestLocalDirAllocator.testRemoveContext,4,test order dependency,indent +4,203,241,34,72,0.1675,0.2988,False,False,4,5,0.8007,0.9475,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,strip indent,203,179,34,10,0.1675,0.0559,False,False,4,4,0.8007,0.8974,False
TestLocalDirAllocator.testRemoveContext,4,test order dependency,trailing spaces,203,214,34,45,0.1675,0.2103,False,False,4,5,0.8007,0.5428,True
TestLocalDirAllocator.testRemoveContext,4,test order dependency,remove blank lines,203,203,34,34,0.1675,0.1675,False,False,4,4,0.8007,0.8007,False
TestRMContainerAllocator.testSimple,0,async wait,indent +4,512,512,104,172,0.2031,0.3359,True,True,0,5,0.9225,0.9289,True
TestRMContainerAllocator.testSimple,0,async wait,strip indent,512,512,104,30,0.2031,0.0586,True,True,0,0,0.9225,0.9167,False
TestRMContainerAllocator.testSimple,0,async wait,trailing spaces,512,512,104,122,0.2031,0.2383,True,True,0,0,0.9225,0.9149,False
TestRMContainerAllocator.testSimple,0,async wait,remove blank lines,512,512,104,104,0.2031,0.2031,True,True,0,0,0.9225,0.9225,False
MultiMapTes.test_multimap,3,unordered collections,indent +4,155,181,22,48,0.1419,0.2652,False,False,3,5,0.8527,0.9521,True
MultiMapTes.test_multimap,3,unordered collections,strip indent,155,140,22,7,0.1419,0.05,False,False,3,3,0.8527,0.7902,False
MultiMapTes.test_multimap,3,unordered collections,trailing spaces,155,163,22,30,0.1419,0.184,False,False,3,5,0.8527,0.843,True
MultiMapTes.test_multimap,3,unordered collections,remove blank lines,155,155,22,22,0.1419,0.1419,False,False,3,3,0.8527,0.8527,False
WorkflowHttpHandlerTest.testWorkflowForkFailure,1,concurrency,indent +4,480,512,66,124,0.1375,0.2422,False,True,0,5,0.5273,0.9457,True
WorkflowHttpHandlerTest.testWorkflowForkFailure,1,concurrency,strip indent,480,433,66,18,0.1375,0.0416,False,False,0,0,0.5273,0.591,False
WorkflowHttpHandlerTest.testWorkflowForkFailure,1,concurrency,trailing spaces,480,499,66,85,0.1375,0.1703,False,False,0,5,0.5273,0.6175,True
WorkflowHttpHandlerTest.testWorkflowForkFailure,1,concurrency,remove blank lines,480,480,66,66,0.1375,0.1375,False,False,0,0,0.5273,0.5273,False
extraSweepersGiveUpAfterFailingToAcquireEnoughTimes,1,concurrency,indent +4,399,477,74,152,0.1855,0.3187,False,False,1,5,0.3974,0.9496,True
extraSweepersGiveUpAfterFailingToAcquireEnoughTimes,1,concurrency,strip indent,399,348,74,20,0.1855,0.0575,False,False,1,0,0.3974,0.4388,True
extraSweepersGiveUpAfterFailingToAcquireEnoughTimes,1,concurrency,trailing spaces,399,420,74,95,0.1855,0.2262,False,False,1,5,0.3974,0.4733,True
extraSweepersGiveUpAfterFailingToAcquireEnoughTimes,1,concurrency,remove blank lines,399,399,74,74,0.1855,0.1855,False,False,1,1,0.3974,0.3974,False
TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,2,time,indent +4,377,463,98,184,0.2599,0.3974,False,False,2,5,0.6331,0.9286,True
TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,2,time,strip indent,377,304,98,22,0.2599,0.0724,False,False,2,2,0.6331,0.6319,False
TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,2,time,trailing spaces,377,400,98,121,0.2599,0.3025,False,False,2,0,0.6331,0.4257,True
TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,2,time,remove blank lines,377,377,98,98,0.2599,0.2599,False,False,2,2,0.6331,0.6331,False
TestExchangeClient.testAddLocation,0,async wait,indent +4,512,512,89,148,0.1738,0.2891,True,True,0,5,0.9112,0.9455,True
TestExchangeClient.testAddLocation,0,async wait,strip indent,512,512,89,27,0.1738,0.0527,True,True,0,0,0.9112,0.9096,False
TestExchangeClient.testAddLocation,0,async wait,trailing spaces,512,512,89,107,0.1738,0.209,True,True,0,0,0.9112,0.8917,False
TestExchangeClient.testAddLocation,0,async wait,remove blank lines,512,512,89,89,0.1738,0.1738,True,True,0,0,0.9112,0.9112,False
TestDelegationToken.testDelegationTokenSecretManager,1,concurrency,indent +4,442,512,134,224,0.3032,0.4375,False,True,0,5,0.9117,0.9428,True
TestDelegationToken.testDelegationTokenSecretManager,1,concurrency,strip indent,442,333,134,29,0.3032,0.0871,False,False,0,0,0.9117,0.7863,False
TestDelegationToken.testDelegationTokenSecretManager,1,concurrency,trailing spaces,442,472,134,164,0.3032,0.3475,False,False,0,0,0.9117,0.857,False
TestDelegationToken.testDelegationTokenSecretManager,1,concurrency,remove blank lines,442,442,134,134,0.3032,0.3032,False,False,0,0,0.9117,0.9117,False
TestDFSIO.testReadSkip,4,test order dependency,indent +4,126,156,26,56,0.2063,0.359,False,False,2,5,0.7859,0.9407,True
TestDFSIO.testReadSkip,4,test order dependency,strip indent,126,108,26,8,0.2063,0.0741,False,False,2,2,0.7859,0.7786,False
TestDFSIO.testReadSkip,4,test order dependency,trailing spaces,126,135,26,35,0.2063,0.2593,False,False,2,2,0.7859,0.7545,False
TestDFSIO.testReadSkip,4,test order dependency,remove blank lines,126,126,26,26,0.2063,0.2063,False,False,2,2,0.7859,0.7859,False
ZKSessionTest.testReacquireLocksAfterSessionLost,0,async wait,indent +4,430,512,98,192,0.2279,0.375,False,True,0,5,0.8031,0.9439,True
ZKSessionTest.testReacquireLocksAfterSessionLost,0,async wait,strip indent,430,358,98,25,0.2279,0.0698,False,False,0,0,0.8031,0.906,False
ZKSessionTest.testReacquireLocksAfterSessionLost,0,async wait,trailing spaces,430,456,98,124,0.2279,0.2719,False,False,0,0,0.8031,0.4425,False
ZKSessionTest.testReacquireLocksAfterSessionLost,0,async wait,remove blank lines,430,430,98,98,0.2279,0.2279,False,False,0,0,0.8031,0.8031,False
ResponseContextTest.serializeWithTruncateArrayTest,3,unordered collections,indent +4,399,457,54,112,0.1353,0.2451,False,False,3,5,0.652,0.9505,True
ResponseContextTest.serializeWithTruncateArrayTest,3,unordered collections,strip indent,399,356,54,15,0.1353,0.0421,False,False,3,3,0.652,0.467,False
ResponseContextTest.serializeWithTruncateArrayTest,3,unordered collections,trailing spaces,399,415,54,70,0.1353,0.1687,False,False,3,5,0.652,0.7819,True
ResponseContextTest.serializeWithTruncateArrayTest,3,unordered collections,remove blank lines,399,399,54,54,0.1353,0.1353,False,False,3,3,0.652,0.652,False
shouldTogglePrepareForBulkLoadDuringRestoreCalls,1,concurrency,indent +4,385,467,106,188,0.2753,0.4026,False,False,1,5,0.4879,0.9439,True
shouldTogglePrepareForBulkLoadDuringRestoreCalls,1,concurrency,strip indent,385,303,106,21,0.2753,0.0693,False,False,1,1,0.4879,0.41,False
shouldTogglePrepareForBulkLoadDuringRestoreCalls,1,concurrency,trailing spaces,385,407,106,128,0.2753,0.3145,False,False,1,0,0.4879,0.5225,True
shouldTogglePrepareForBulkLoadDuringRestoreCalls,1,concurrency,remove blank lines,385,385,106,106,0.2753,0.2753,False,False,1,1,0.4879,0.4879,False
BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,0,async wait,indent +4,512,512,93,140,0.1816,0.2734,True,True,0,5,0.8077,0.9319,True
BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,0,async wait,strip indent,512,512,93,24,0.1816,0.0469,True,True,0,0,0.8077,0.865,False
